id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28829009,UD. Ovan Pancasila,Jasa,29,81,4526962,40328494,Tokopedia,723,Terdaftar,2001,35801532,330000000,723
28829010,UD. Rendi Hilir Aldo,Kesehatan,11,8,7197627,35495552,Website Sendiri,810,Belum Terdaftar,2003,28297925,57000000,810
28829011,UD. Koko Saputra Fauzan,Jasa,99,89,5348226,15360701,Bukalapak,144,Terdaftar,2001,10012475,564000000,144
28829012,UD. Lina Suci,Jasa,82,1,3203100,42774617,Lazada,766,Belum Terdaftar,2007,39571517,249000000,766
28829013,UD. Olivia Abdi Leni,Perdagangan,43,95,8184474,20627423,Website Sendiri,602,Terdaftar,2023,12442949,414000000,602
28829014,UD. Bulan Prajurit,Perdagangan,,41,716207,16477735,Bukalapak,781,Terdaftar,2010,15761528,195000000,781
28829015,UD. Cinta Sanjaya,Pendidikan,96,69,1532260,12287804,Bukalapak,467,Terdaftar,2022,10755544,495000000,467
28829016,UD. Berlian Cinta,Perdagangan,41,83,6237365,30769089,Website Sendiri,202,Belum Terdaftar,2005,24531724,372000000,202
28829017,UD. Pasha Widuri,Pendidikan,20,71,7820668,4693327,Shopee,371,Belum Terdaftar,2009,,273000000,371
28829018,UD. Pandu Cerah,Jasa,60,67,2994009,43284251,Shopee,349,Belum Terdaftar,2022,40290242,381000000,349
28829019,UD. Zulfa Anggrek,Jasa,65,88,7572230,11941021,Lazada,464,Terdaftar,2003,4368791,459000000,464
28829020,UD. Nadia Resaputra,Pendidikan,20,30,6945862,26072115,Shopee,786,Terdaftar,2002,19126253,150000000,786
28829021,UD. Tono Baswara,Kesehatan,25,18,9172005,7182203,Lazada,553,Belum Terdaftar,2011,-1989802,129000000,553
28829022,UD. Umar Sukadarma,Pendidikan,31,70,4001063,35971870,Website Sendiri,,Belum Terdaftar,2000,31970807,303000000,293
28829023,UD. Baim Siang,Perdagangan,90,46,1081701,42185217,Shopee,229,Belum Terdaftar,2013,41103516,408000000,229
28829024,UD. Via Wangi,Pendidikan,16,36,9832061,32839708,Shopee,71,Belum Terdaftar,2010,,156000000,71
28829025,UD. Carissa Artha,Kesehatan,3,93,8698204,13178761,Tokopedia,11,Terdaftar,2007,4480557,288000000,11
28829026,UD. Vina Trisudira,Pendidikan,38,90,2813469,13711825,Tokopedia,645,Belum Terdaftar,2012,10898356,384000000,645
28829027,UD. Ujang Selaras,Perdagangan,14,80,8567933,39509626,Bukalapak,909,Terdaftar,2001,30941693,282000000,909
28829028,UD. Heri Gatra Alya,Pendidikan,32,95,6516905,16026334,Tokopedia,262,Belum Terdaftar,2005,9509429,381000000,262
28829029,UD. Ismail Brata,Jasa,60,18,8137295,14517443,Website Sendiri,602,Belum Terdaftar,2023,6380148,234000000,602
28829030,UD. Uci Sundawa,Perdagangan,13,88,4677217,28029759,Lazada,335,Belum Terdaftar,2013,23352542,303000000,335
28829031,UD. Rafi Kencana,Kesehatan,89,92,6572173,19688922,Lazada,529,Terdaftar,2003,13116749,543000000,529
28829032,UD. Rafif Permai,Perdagangan,46,24,6433674,7962555,Tokopedia,951,Terdaftar,2001,1528881,210000000,951
28829033,UD. Daffa Arya,Kesehatan,1,52,8926871,15796478,Tokopedia,149,Belum Terdaftar,2002,6869607,159000000,149
28829034,UD. Cici Wacana,Perdagangan,83,95,5234264,1679275,Lazada,648,Belum Terdaftar,2022,-3554989,534000000,648
28829035,UD. Rahmat Sangga,Jasa,89,74,4509538,34698014,Bukalapak,924,Belum Terdaftar,2019,30188476,,924
28829036,UD. Cici Mahendra,Kesehatan,65,3,7627321,49034322,Shopee,900,Belum Terdaftar,2017,41407001,204000000,900
28829037,UD. Viona Manik Tomi,Kesehatan,47,45,8539102,15792614,Bukalapak,230,Terdaftar,2006,7253512,276000000,230
28829038,UD. Nisa Nirbayu,Jasa,63,30,3163061,12219265,Website Sendiri,745,Belum Terdaftar,2003,9056204,279000000,745
28829039,UD. Bella Gandewa,Pendidikan,65,35,3128202,32338317,Website Sendiri,165,Belum Terdaftar,2014,29210115,300000000,165
28829040,UD. Pasha Ceria,Pendidikan,47,3,2571459,10359203,Shopee,654,,2022,7787744,150000000,654
28829041,UD. Zidan Trisakti,Jasa,80,1,4244386,6157738,Shopee,180,Terdaftar,2011,1913352,243000000,180
28829042,UD. Qomar Wijapranata,Kesehatan,17,38,3835131,39477101,Bukalapak,378,Terdaftar,2007,35641970,165000000,378
28829043,UD. Rahmat Reswara,Pendidikan,50,96,8984697,15112987,Lazada,21,Belum Terdaftar,2021,6128290,438000000,21
28829044,UD. Pardi Taruna,Jasa,3,43,1285127,41177602,Shopee,846,Terdaftar,2007,39892475,138000000,846
28829045,UD. Zulfa Galang,Jasa,80,90,8118505,24809783,Bukalapak,810,Terdaftar,2006,16691278,510000000,810
28829046,UD. Miko Panji,Jasa,32,89,7234187,32667887,Bukalapak,958,Belum Terdaftar,2017,25433700,363000000,958
28829047,UD. Chintya Jatinagara,Kesehatan,22,18,4406777,21728824,Lazada,40,Belum Terdaftar,2017,17322047,120000000,40
28829048,UD. Celsi Jaladara,Kesehatan,52,40,5091207,25854716,Bukalapak,674,Terdaftar,2005,20763509,276000000,674
28829049,UD. Tegar Gatra,Perdagangan,12,96,5692646,28271618,Website Sendiri,400,Belum Terdaftar,2024,22578972,324000000,400
28829050,UD. Wito Lingga,Jasa,70,37,4026539,3045103,Lazada,930,Belum Terdaftar,2015,-981436,321000000,930
28829051,UD. Halim Sumirat,Pendidikan,57,73,712821,41411101,Tokopedia,166,Belum Terdaftar,2014,40698280,390000000,166
28829052,UD. Nadia Sulaksana Tama,Kesehatan,62,64,2283050,46913169,Bukalapak,212,Belum Terdaftar,2005,44630119,378000000,212
28829053,UD. Joko Adikara Pandu,Kesehatan,64,34,9903268,6662471,Shopee,286,Terdaftar,2012,-3240797,294000000,286
28829054,UD. Laila Asih,Jasa,41,10,9508710,,Shopee,65,Belum Terdaftar,2008,-844253,153000000,65
28829055,UD. Sella Kusen,Kesehatan,94,58,1000881,38834453,Lazada,544,Belum Terdaftar,2011,37833572,456000000,544
28829056,UD. Yoga Prajurit,Kesehatan,99,77,7100501,44613951,Shopee,783,Belum Terdaftar,2015,37513450,528000000,783
28829057,UD. Ujang Jagadmaya,Perdagangan,88,69,3479208,13598830,Shopee,751,Terdaftar,2006,10119622,471000000,751
28829058,UD. Haidar Atma,Jasa,39,42,1472614,46937687,Tokopedia,736,Terdaftar,2007,45465073,243000000,736
28829059,UD. Wahyu Widuri,Pendidikan,93,88,9501963,37642138,Shopee,83,Terdaftar,2018,28140175,543000000,83
28829060,UD. Laila Widjaja,Jasa,20,86,9010600,42993661,Lazada,645,Belum Terdaftar,2019,33983061,318000000,645
28829061,UD. Dewi Pancasila,Perdagangan,82,unknown,5899211,45324281,Lazada,940,Terdaftar,2000,39425070,258000000,940
28829062,UD. Viona Bangun,Jasa,79,25,6343605,47113185,Website Sendiri,398,Belum Terdaftar,2010,40769580,312000000,398
28829063,UD. Harun Kelana,Kesehatan,32,81,1648852,11101210,Bukalapak,261,Terdaftar,2008,9452358,339000000,261
28829064,UD. Wulan Setia,Perdagangan,69,31,2744541,23351916,Bukalapak,327,Belum Terdaftar,2012,20607375,300000000,327
28829065,UD. Elyas Atma,Jasa,41,46,2505425,18770652,Bukalapak,603,Terdaftar,2002,16265227,261000000,603
28829066,UD. Sella Kelana,Kesehatan,36,55,7969634,34762204,Lazada,862,Terdaftar,2016,26792570,273000000,862
28829067,UD. Tiara Saprahan,Pendidikan,71,84,7842718,28907566,Shopee,856,Terdaftar,2008,21064848,465000000,856
28829068,UD. Salwa Asri,Jasa,0,89,5636007,37963518,Bukalapak,725,Terdaftar,2024,32327511,267000000,725
28829069,UD. Elok Mahendra,Jasa,76,49,3661063,24627761,Shopee,561,Belum Terdaftar,2017,20966698,375000000,561
28829070,UD. Galang Hilir,Perdagangan,25,98,3392044,9072751,Shopee,262,Terdaftar,2015,5680707,369000000,262
28829071,UD. Mika Hilir,Jasa,79,73,1354346,15230923,Website Sendiri,647,Belum Terdaftar,2006,13876577,456000000,647
28829072,UD. Zaki Darma Satria,Pendidikan,38,57,7754124,28471309,Bukalapak,208,Belum Terdaftar,2017,20717185,285000000,208
28829073,UD. Vera Hastinapura,Kesehatan,46,27,2438154,39441902,Lazada,485,Belum Terdaftar,2014,37003748,219000000,485
28829074,UD. Lintang Permai,Jasa,55,94,7779757,15447809,Lazada,646,Terdaftar,2004,7668052,unknown,646
28829075,UD. Chiko Abadi,Pendidikan,57,78,5565773,21330532,Website Sendiri,656,Belum Terdaftar,2001,15764759,405000000,656
28829076,UD. Satria Raharja,Kesehatan,27,54,7504402,10707258,Bukalapak,411,Belum Terdaftar,2006,3202856,243000000,411
28829077,UD. Hilmiyah Karya Iqbal,Pendidikan,56,57,1193998,48011884,Shopee,825,Belum Terdaftar,2014,46817886,339000000,825
28829078,UD. Gita Wisnu,,86,39,9352631,39665233,Bukalapak,733,Terdaftar,2017,30312602,375000000,733
28829079,UD. Rendi Yudhistira,Perdagangan,70,57,7998127,1724478,Lazada,483,Terdaftar,2005,-6273649,381000000,483
28829080,UD. Fani Puri,Kesehatan,87,71,3470140,21610572,Lazada,107,Belum Terdaftar,2007,18140432,474000000,107
28829081,UD. Tasya Jatinagara Ucup,Jasa,71,45,8628530,41054088,Lazada,240,Belum Terdaftar,2011,32425558,348000000,240
28829082,UD. Olla Sentosa,Kesehatan,44,73,9214832,15657308,Shopee,238,Terdaftar,2020,6442476,351000000,238
28829083,UD. Nisa Mayang,Perdagangan,64,44,7213275,39611255,Lazada,727,Terdaftar,2002,32397980,324000000,727
28829084,UD. Zidan Adiwarna,Jasa,3,9,555229,39624457,Bukalapak,344,Belum Terdaftar,2024,39069228,36000000,344
28829085,UD. Tiara Manik,Kesehatan,60,81,6450639,28388947,,89,Terdaftar,2024,21938308,423000000,89
28829086,UD. Bambang Sahaja Utami,Perdagangan,60,47,8257392,39899612,Bukalapak,514,Terdaftar,2006,31642220,321000000,514
28829087,UD. Olla Sangkala,Jasa,42,91,992102,44160296,Tokopedia,288,Terdaftar,2018,43168194,399000000,288
28829088,UD. Rafi Ayodya,Perdagangan,18,61,1791223,18617084,Tokopedia,875,Terdaftar,2016,16825861,237000000,875
28829089,UD. Zidanar Sukma,Perdagangan,85,27,2227098,10000021,Shopee,477,Belum Terdaftar,2014,7772923,336000000,477
28829090,UD. Karim Pagi,Jasa,99,19,4920079,14132405,Lazada,796,Terdaftar,2010,9212326,354000000,796
28829091,UD. Wahyu Sukadarma Oki,Kesehatan,0,87,4813110,45370090,Lazada,147,Terdaftar,2002,40556980,261000000,147
28829092,UD. Kanza Widuri,Pendidikan,18,69,7609069,34780197,Shopee,187,Terdaftar,2005,27171128,261000000,187
28829093,UD. Yudi Hilir,Perdagangan,50,40,2918273,25797648,Bukalapak,811,Belum Terdaftar,2024,22879375,270000000,811
28829094,UD. Tiara Citra,Kesehatan,63,95,4637148,4034846,Tokopedia,113,Belum Terdaftar,2016,-602302,474000000,113
28829095,UD. Ziva Yudhistira,Pendidikan,62,5,4489123,27458312,Lazada,239,Terdaftar,2022,22969189,201000000,239
28829096,UD. Pandu Saprahan,Kesehatan,28,10,5235617,13274201,Lazada,444,Terdaftar,2009,8038584,114000000,444
28829097,UD. Pasha Citra,Jasa,18,29,7805564,22438015,Tokopedia,849,Belum Terdaftar,,14632451,141000000,849
28829098,UD. Gerry Utama Amir,Perdagangan,42,2,8893401,14013489,Shopee,316,Belum Terdaftar,2002,5120088,132000000,316
28829099,UD. Vito Setia,Perdagangan,69,71,4239675,40438072,Shopee,990,Terdaftar,2022,36198397,420000000,990
28829100,UD. Olivia Saprahan,Jasa,88,32,2210752,37097133,Shopee,458,Terdaftar,2017,34886381,,458
28829101,UD. Rendi Wicaksana Agus,Pendidikan,38,53,5930550,22639485,Lazada,822,Terdaftar,2015,16708935,273000000,822
28829102,UD. Erni Mulya,Kesehatan,22,46,7501974,1939689,Bukalapak,634,Terdaftar,2009,-5562285,,634
28829103,UD. Naufal Kawiswara,Kesehatan,0,82,5581886,29635968,Website Sendiri,691,Belum Terdaftar,2018,24054082,246000000,691
28829104,UD. Gilangga Bijaksana,Jasa,60,9,8954134,9100637,Shopee,645,Terdaftar,2016,146503,207000000,645
28829105,UD. Syifa Utama,Perdagangan,78,18,9367198,39054993,Website Sendiri,347,Terdaftar,2008,29687795,288000000,347
28829106,UD. Marsya Jatiwangi Via,Pendidikan,24,8,3374974,16944404,Bukalapak,836,Belum Terdaftar,2024,13569430,96000000,836
28829107,UD. Galang Padi,Pendidikan,3,6,1744063,17790080,Lazada,640,Terdaftar,2024,16046017,27000000,640
28829108,UD. Hanafi Madusari,Jasa,0,60,4278866,31500511,Website Sendiri,570,Terdaftar,2012,27221645,180000000,570
,UD. Grego Sumringah,Jasa,39,13,7096494,18637738,Shopee,416,Terdaftar,2019,11541244,156000000,416
28829110,UD. Vina Dharma,Kesehatan,20,1,1003758,,Website Sendiri,520,Belum Terdaftar,2005,19669491,63000000,520
28829111,UD. Ony Galuh,Pendidikan,42,21,1656151,38227950,Tokopedia,921,Belum Terdaftar,2012,36571799,189000000,921
28829112,UD. Zidanar Kamajaya,Kesehatan,9,59,2926426,6748852,Bukalapak,312,Belum Terdaftar,2012,3822426,204000000,312
28829113,UD. Jasmine Bijaksana,Perdagangan,65,44,2910003,48934221,Tokopedia,179,Belum Terdaftar,2022,46024218,327000000,179
28829114,UD. Celsi Karya,Perdagangan,16,19,1223854,1632324,Bukalapak,930,Terdaftar,2022,408470,105000000,930
28829115,UD. Kanza Harmoni Pasha,Kesehatan,12,25,3294045,17686966,Bukalapak,590,Terdaftar,2004,14392921,111000000,590
28829116,UD. Farhan Wijaya,Perdagangan,90,58,4609325,41740387,Lazada,596,Belum Terdaftar,2015,37131062,444000000,596
28829117,UD. Harun Utama,Jasa,91,67,3248308,14275773,Bukalapak,308,Terdaftar,2010,11027465,474000000,308
28829118,UD. Indah Hastinapura Tomi,Kesehatan,9,38,8706513,8487733,Bukalapak,887,Belum Terdaftar,2019,-218780,141000000,887
28829119,UD. Jihan Jaya,Kesehatan,51,22,5556720,46992799,Shopee,655,Belum Terdaftar,2010,41436079,219000000,655
28829120,UD. Eka Jayaningrat,Perdagangan,9,79,2823524,16072245,Tokopedia,504,Belum Terdaftar,2016,13248721,264000000,504
28829121,UD. Qais Sukma Halimah,Kesehatan,46,24,8955054,25401004,Website Sendiri,151,Belum Terdaftar,2024,16445950,210000000,151
28829122,UD. Lukman Anugerah,Perdagangan,8,72,6784279,10625762,Lazada,35,Terdaftar,2012,3841483,240000000,35
28829123,UD. Vincent Sudharmo,Jasa,97,52,7589214,32867800,Bukalapak,740,Terdaftar,2003,25278586,447000000,740
28829124,UD. Romi Hilir,Jasa,45,10,7608989,7094154,Shopee,768,Belum Terdaftar,2013,-514835,165000000,768
28829125,UD. Nina Gunawan,Pendidikan,67,24,9067612,36350061,Bukalapak,663,Terdaftar,2012,27282449,273000000,663
28829126,UD. Zahira Cempaka,Jasa,53,30,1667526,36267452,Lazada,389,Belum Terdaftar,2019,34599926,249000000,389
28829127,UD. Santi Wirajaya,Perdagangan,67,45,1128728,21939880,Tokopedia,321,Belum Terdaftar,2002,20811152,336000000,321
28829128,UD. Odie Utamaindah,Perdagangan,3,26,5984776,29702588,Website Sendiri,372,Belum Terdaftar,2024,23717812,87000000,372
28829129,UD. Rangga Panji,Jasa,74,99,4496240,3211900,Shopee,166,Belum Terdaftar,2001,-1284340,519000000,166
28829130,UD. Binar Senja,Perdagangan,0,62,2919976,27965533,Lazada,987,Belum Terdaftar,2017,25045557,186000000,987
28829131,UD. Berlian Saprahan,Jasa,84,46,4393098,15515809,Lazada,219,Terdaftar,2017,11122711,390000000,219
28829132,UD. Ina Pancasila,Perdagangan,58,13,7246617,3553375,Bukalapak,215,Terdaftar,2003,-3693242,213000000,215
28829133,UD. Hilmiyah Merdeka,Jasa,24,22,7154586,39459293,Shopee,137,Terdaftar,2018,32304707,138000000,137
28829134,UD. Karim Kalbu,Jasa,8,15,891227,44542353,Website Sendiri,706,Terdaftar,2009,43651126,69000000,706
28829135,UD. Pio Wijapranata,Jasa,24,19,1454110,31396215,Lazada,255,Terdaftar,2000,29942105,129000000,255
28829136,UD. Yasir Karya Qisya,Perdagangan,81,2,1731977,45182982,Website Sendiri,848,Belum Terdaftar,2003,43451005,249000000,848
28829137,UD. Obed Wiraatmaja Desta,Kesehatan,70,5,8717743,5396641,Tokopedia,869,Belum Terdaftar,2001,-3321102,225000000,869
28829138,UD. Guntur Panji,Kesehatan,25,28,4453039,3819719,Bukalapak,270,Belum Terdaftar,2008,-633320,159000000,270
28829139,UD. Qomar Malam,Jasa,55,3,9997564,27410410,Website Sendiri,58,Terdaftar,2008,17412846,174000000,58
28829140,UD. Riko Langit,Pendidikan,48,64,4069503,2997231,Lazada,113,Belum Terdaftar,2001,-1072272,336000000,113
28829141,UD. Ulil Cempaka Vincent,Pendidikan,81,7,770693,40989791,Lazada,582,Terdaftar,2023,40219098,264000000,582
28829142,UD. Clarissa Trisaktiatma Lana,Pendidikan,64,47,1921558,12294055,Lazada,186,Belum Terdaftar,2021,10372497,333000000,186
28829143,UD. Indah Cempaka,Pendidikan,60,83,4228615,13506445,Lazada,984,Belum Terdaftar,2009,9277830,429000000,984
28829144,UD. Bela Sumirat,Pendidikan,8,15,2607429,15707012,Shopee,314,Belum Terdaftar,2007,13099583,69000000,314
28829145,UD. Cipta Naraya Nando,Jasa,9,46,2876358,34539958,Bukalapak,107,Belum Terdaftar,2007,31663600,165000000,107
28829146,UD. Citra Pusaka Jasmine,Jasa,10,unknown,4383453,26758982,Shopee,78,Terdaftar,2024,22375529,120000000,78
28829147,UD. Joko Haji,Perdagangan,95,95,7855838,38117897,Shopee,637,Terdaftar,2016,30262059,570000000,637
28829148,UD. Zahira Surya,Kesehatan,84,97,3024776,47506771,Bukalapak,77,Belum Terdaftar,2001,44481995,543000000,77
28829149,UD. Salwa Rejo,Pendidikan,35,28,5046613,23798939,Lazada,154,Terdaftar,2018,18752326,189000000,154
28829150,UD. Hanafi Wijapranata,Perdagangan,55,75,1310749,47226332,Tokopedia,138,Terdaftar,2020,45915583,390000000,138
28829151,UD. Chika Bahagia,Perdagangan,31,67,7730188,35607557,Shopee,70,Belum Terdaftar,2007,27877369,294000000,70
28829152,UD. Olivia Gatra,Perdagangan,82,42,1369123,1158245,Website Sendiri,275,Terdaftar,2023,-210878,372000000,275
28829153,UD. Lono Mandala,Pendidikan,71,33,4343367,6240233,Shopee,939,Belum Terdaftar,,1896866,312000000,939
28829154,UD. Uci Permai,Kesehatan,34,5,5924702,43208642,Bukalapak,646,Terdaftar,2012,37283940,117000000,646
28829155,UD. Fatimah Arya,Jasa,85,48,9846115,32150608,Shopee,710,Belum Terdaftar,2023,22304493,399000000,710
28829156,UD. Ayesha Sudarsana,Kesehatan,3,59,7667376,33442016,Website Sendiri,443,Belum Terdaftar,2014,25774640,186000000,443
28829157,UD. Iqra Praja,Pendidikan,92,50,7199984,3136612,Shopee,554,Terdaftar,2005,-4063372,426000000,554
28829158,UD. Vidi Pramudita,Kesehatan,61,8,3960577,44866238,Tokopedia,435,Belum Terdaftar,2017,40905661,207000000,435
28829159,UD. Kirana Widuri,Jasa,62,4,4480151,14907360,Shopee,612,Belum Terdaftar,2010,10427209,198000000,612
28829160,UD. Naufal Sahaja,Pendidikan,94,63,3465812,12409146,Website Sendiri,225,Belum Terdaftar,2012,8943334,471000000,225
28829161,UD. Fadli Kusumasari Febri,Kesehatan,7,15,2869681,34270486,Lazada,508,Terdaftar,2004,31400805,66000000,508
28829162,UD. Kiki Karya,Perdagangan,75,58,3651308,28240617,Tokopedia,193,Terdaftar,2011,24589309,399000000,193
28829163,UD. Fajar Nirwana Yani,Perdagangan,68,55,6483650,46375853,Lazada,638,Terdaftar,2012,39892203,369000000,638
28829164,UD. Erni Tengah Asep,Pendidikan,60,64,8335976,42064505,Shopee,372,Belum Terdaftar,2015,33728529,372000000,372
28829165,UD. Maudy Panji Oniel,Perdagangan,93,83,3745392,36423597,Website Sendiri,101,Belum Terdaftar,2019,32678205,528000000,101
28829166,UD. Indah Nirwana,Perdagangan,62,34,8660014,11328969,Bukalapak,732,Belum Terdaftar,2002,2668955,288000000,732
28829167,UD. Bambang Reswara,Kesehatan,60,9,4840296,23951439,Tokopedia,191,Belum Terdaftar,2004,19111143,207000000,191
28829168,UD. Chiko Sarwono Qisha,Jasa,98,88,769158,40778026,Website Sendiri,203,Belum Terdaftar,2006,40008868,558000000,203
28829169,UD. Tegar Sehat Iqra,Pendidikan,36,46,3395634,35296031,Bukalapak,452,Terdaftar,2008,31900397,246000000,452
28829170,UD. Yaniar Pamungkas,Kesehatan,3,91,3892586,33076861,Tokopedia,906,Belum Terdaftar,2009,29184275,282000000,906
28829171,UD. Tariq Putra,Pendidikan,55,34,1582327,17330160,Tokopedia,182,Terdaftar,2016,15747833,267000000,182
28829172,UD. Kanza Saputrautama,Pendidikan,42,61,8342900,2494616,Shopee,802,Terdaftar,2013,-5848284,309000000,802
28829173,UD. Livia Prana,Pendidikan,20,32,8868465,45322446,Bukalapak,268,Terdaftar,2013,36453981,156000000,268
28829174,UD. Vino Jaya,Pendidikan,57,14,6882361,4142159,Tokopedia,464,Terdaftar,2014,-2740202,213000000,464
28829175,UD. Heri Anugerah,Jasa,15,84,,17946153,Tokopedia,98,Terdaftar,2004,14290452,297000000,98
28829176,UD. Pasha Tirtayasa,Jasa,52,34,3646499,31650576,Shopee,600,Belum Terdaftar,2003,28004077,258000000,600
28829177,UD. Eddy Alam,Pendidikan,17,9,6774497,4826714,Shopee,637,Belum Terdaftar,2000,-1947783,78000000,637
28829178,UD. Ujang Pusaka,Kesehatan,56,79,6656534,8893550,Lazada,578,Terdaftar,2015,2237016,405000000,578
28829179,UD. Qisha Permai,Jasa,94,19,4938003,15750873,Lazada,589,Belum Terdaftar,2006,10812870,339000000,589
28829180,UD. Damar Luhur,Kesehatan,37,7,4211564,20761512,Lazada,139,Terdaftar,2012,16549948,132000000,139
28829181,UD. Xenia Berkarya,Perdagangan,31,94,9954281,19597514,Lazada,15,Belum Terdaftar,2017,9643233,375000000,15
28829182,UD. Wulan Jaya,Pendidikan,96,7,8406384,36902986,Bukalapak,130,Belum Terdaftar,2022,28496602,309000000,130
28829183,UD. Khalid Mandala,Jasa,18,12,4656022,11168838,Bukalapak,748,Terdaftar,2006,6512816,90000000,748
28829184,UD. Uchie Jayengpati,Jasa,83,87,6444532,48189531,Website Sendiri,299,Terdaftar,2005,41744999,510000000,299
28829185,UD. Mika Sahaja Baim,Kesehatan,47,75,8625808,33197597,Website Sendiri,862,Terdaftar,2008,24571789,366000000,862
28829186,UD. Olivia Lintang Uli,Pendidikan,73,58,9514378,10452605,Lazada,134,Terdaftar,2015,938227,393000000,134
28829187,UD. Fikra Sumirat Diva,Perdagangan,25,80,9792424,4378851,Lazada,384,Belum Terdaftar,2022,-5413573,315000000,384
28829188,UD. Jay Kusumah Vita,Kesehatan,81,46,8273278,7875762,Bukalapak,580,Belum Terdaftar,2007,-397516,381000000,580
28829189,UD. Zahra Maju,Kesehatan,44,59,1060226,34559624,Lazada,31,Belum Terdaftar,2003,33499398,309000000,31
28829190,UD. Qira Agastya,Jasa,44,40,5190825,14842530,Lazada,445,Belum Terdaftar,2019,9651705,252000000,445
28829191,UD. Lukita Nirwana,Jasa,,51,8151375,18130174,Bukalapak,882,Terdaftar,2022,9978799,195000000,882
28829192,UD. Satria Pelangi,Pendidikan,99,99,1884846,30906226,Tokopedia,230,Terdaftar,2015,29021380,594000000,230
28829193,UD. Oki Sangkala,Kesehatan,17,75,9304665,29742860,unknown,250,Terdaftar,2013,20438195,276000000,250
28829194,UD. Utami Wiyata Yessi,Perdagangan,30,53,5779909,34062703,Lazada,535,Belum Terdaftar,2003,28282794,249000000,535
28829195,UD. Desi Jatiwangi,Perdagangan,14,35,3244800,13524099,Bukalapak,947,Belum Terdaftar,2013,10279299,147000000,947
28829196,UD. Eren Bijaksana,Kesehatan,92,76,4568208,16799673,Website Sendiri,506,Terdaftar,2003,12231465,504000000,506
28829197,UD. Najwa Makmur,Kesehatan,14,98,unknown,9534553,Tokopedia,848,Belum Terdaftar,2001,7947618,336000000,848
28829198,UD. Echa Bijaksana,Kesehatan,64,68,5387226,42516482,Tokopedia,718,Belum Terdaftar,2017,37129256,396000000,718
28829199,UD. Wenda Setia,Pendidikan,86,12,3869150,19060017,Tokopedia,152,Terdaftar,2020,15190867,294000000,152
28829200,UD. Baim Atma,Perdagangan,45,71,7051389,16612852,Bukalapak,61,Belum Terdaftar,2022,9561463,348000000,61
28829201,UD. Rosa Abdi Poppy,Perdagangan,74,10,3476515,23111146,Website Sendiri,761,Terdaftar,2021,19634631,252000000,761
28829202,UD. Budi Nusa,Jasa,15,7,826314,4661456,Shopee,727,Belum Terdaftar,2016,3835142,66000000,727
28829203,UD. Yuli Jayengpati,Perdagangan,54,30,7679964,25455787,Website Sendiri,494,Belum Terdaftar,2024,17775823,252000000,494
28829204,UD. Nina Prima,Kesehatan,29,61,2576501,10010723,Website Sendiri,812,Belum Terdaftar,2010,,270000000,812
28829205,UD. Lutfi Surya,Kesehatan,92,11,2253904,1633287,Lazada,838,Belum Terdaftar,2017,-620617,309000000,838
28829206,UD. Salsa Mandiri,Kesehatan,40,10,9464031,22518112,Website Sendiri,890,Terdaftar,2018,13054081,150000000,890
28829207,UD. Yola Kusuma,Perdagangan,66,16,4231420,32985113,Bukalapak,386,Belum Terdaftar,2019,28753693,246000000,386
28829208,UD. Yani Adiwarna,Perdagangan,16,26,9972656,23690654,Tokopedia,357,Terdaftar,2022,13717998,126000000,357
28829209,UD. Lidya Putra,Pendidikan,25,76,2446849,25897418,Website Sendiri,110,Belum Terdaftar,2022,23450569,303000000,110
28829210,UD. Rangga Damai,Pendidikan,72,99,9874846,30721854,Website Sendiri,355,Belum Terdaftar,2017,20847008,513000000,355
28829211,UD. Ciko Mega,Kesehatan,80,12,5526433,35962076,Shopee,975,Belum Terdaftar,2021,30435643,276000000,975
28829212,UD. Haidar Anindita,Pendidikan,63,85,3051549,29433317,Shopee,953,Belum Terdaftar,2008,26381768,444000000,953
28829213,UD. Joko Resaputra Syifa,Jasa,94,43,5518026,43148196,Lazada,312,Terdaftar,2024,37630170,411000000,312
28829214,UD. Eni Naraya Riko,Kesehatan,57,57,8976048,31411022,Shopee,209,,2018,22434974,342000000,209
28829215,UD. Mario Sukma Qori,Jasa,94,87,594643,43417906,Lazada,979,Terdaftar,2018,42823263,543000000,979
28829216,UD. Fikri Gunawan Zidan,Jasa,74,29,1315512,19492093,Bukalapak,311,Terdaftar,2007,18176581,309000000,311
28829217,UD. Dani Surya,Kesehatan,85,12,2048607,42478200,Tokopedia,543,Terdaftar,2016,40429593,291000000,543
28829218,UD. Fikra Gandewa,Perdagangan,2,7,9830078,37758143,Shopee,723,Terdaftar,2004,27928065,27000000,723
28829219,UD. Lina Winata,Kesehatan,27,68,912573,44891270,Bukalapak,92,Belum Terdaftar,2004,43978697,285000000,92
28829220,UD. Eddy Sentosa,Jasa,,63,838288,7983161,Tokopedia,297,Terdaftar,2022,7144873,474000000,297
28829221,UD. Deni Baswara Veronika,Pendidikan,3,51,1883845,40556892,Bukalapak,407,Terdaftar,2008,38673047,162000000,407
28829222,UD. Bayu Adhi,Pendidikan,39,5,5737356,19408864,Bukalapak,33,Terdaftar,2001,13671508,132000000,33
